prompt,color,estilo,elemento,posicion,color_enc,estilo_enc,elemento_enc,posicion_enc
"Diseño para camiseta: automóvil en posición espalda, color negro, estilo visual deportivo",negro,deportivo,automóvil,espalda,3,0,0,1
"Camiseta de color negro, diseño de águila, estilo minimalista, zona centrado",negro,minimalista,águila,centrado,3,1,8,0
"Quiero una camiseta con diseño de calavera en estilo deportivo, color azul, posición centrado",azul,deportivo,calavera,centrado,0,0,1,0
"Diseñar camiseta: elemento gráfico dragón, color verde, estilo retro, ubicación espalda",verde,retro,dragón,espalda,5,2,2,1
"Camiseta con estampado de águila, color principal negro, estilo visual urbano, zona esquina",negro,urbano,águila,esquina,3,3,8,2
"Quiero estampado de águila en zona centrado, color rojo, estilo urbano",rojo,urbano,águila,centrado,4,3,8,0
Camiseta de color verde con motivo urbano de automóvil en la zona espalda,verde,urbano,automóvil,espalda,5,3,0,1
"Quiero estampado de guitarra en zona espalda, color azul, estilo retro",azul,retro,guitarra,espalda,0,2,3,1
"Camiseta con estampado de árbol, color principal blanco, estilo visual retro, zona pecho",blanco,retro,árbol,pecho,1,2,9,3
Camiseta de color gris con motivo vintage de calavera en la zona espalda,gris,vintage,calavera,espalda,2,4,1,1
"Quiero una camiseta con diseño de guitarra en estilo vintage, color gris, posición esquina",gris,vintage,guitarra,esquina,2,4,3,2
"Necesito una camiseta con gráfico de sol en zona centrado, color gris, estilo retro",gris,retro,sol,centrado,2,2,6,0
"Necesito una camiseta con gráfico de montaña en zona espalda, color gris, estilo deportivo",gris,deportivo,montaña,espalda,2,0,5,1
"Quiero una camiseta con diseño de dragón en estilo minimalista, color negro, posición centrado",negro,minimalista,dragón,centrado,3,1,2,0
"Crear camiseta de estilo urbano con motivo de dragón en color rojo, zona espalda",rojo,urbano,dragón,espalda,4,3,2,1
Camiseta de color negro con motivo deportivo de guitarra en la zona esquina,negro,deportivo,guitarra,esquina,3,0,3,2
"Quiero diseño de árbol en camiseta color rojo, estilo retro, ubicado en esquina",rojo,retro,árbol,esquina,4,2,9,2
"Diseño para camiseta: águila en posición pecho, color gris, estilo visual deportivo",gris,deportivo,águila,pecho,2,0,8,3
"Camiseta con estampado de calavera, color principal gris, estilo visual retro, zona pecho",gris,retro,calavera,pecho,2,2,1,3
"Quiero estampado de calavera en zona esquina, color rojo, estilo deportivo",rojo,deportivo,calavera,esquina,4,0,1,2
"Crear camiseta de estilo retro con motivo de texto en color negro, zona pecho",negro,retro,texto,pecho,3,2,7,3
"Camiseta color gris, estilo deportivo, con estampado de calavera en zona pecho",gris,deportivo,calavera,pecho,2,0,1,3
"Necesito una camiseta con gráfico de texto en zona espalda, color gris, estilo urbano",gris,urbano,texto,espalda,2,3,7,1
"Camiseta con imagen de guitarra, color gris, estilo retro, posición pecho",gris,retro,guitarra,pecho,2,2,3,3
"Diseño de camiseta: gráfico de automóvil, color gris, estilo vintage, posición centrado",gris,vintage,automóvil,centrado,2,4,0,0
"Necesito una camiseta con gráfico de automóvil en zona esquina, color azul, estilo retro",azul,retro,automóvil,esquina,0,2,0,2
"Camiseta con imagen de texto, color gris, estilo minimalista, posición esquina",gris,minimalista,texto,esquina,2,1,7,2
"Diseñar camiseta: elemento gráfico lobo, color rojo, estilo deportivo, ubicación pecho",rojo,deportivo,lobo,pecho,4,0,4,3
"Diseñar camiseta: elemento gráfico montaña, color verde, estilo vintage, ubicación pecho",verde,vintage,montaña,pecho,5,4,5,3
"Camiseta con estampado de texto, color principal azul, estilo visual urbano, zona espalda",azul,urbano,texto,espalda,0,3,7,1
"Camiseta con estampado de sol, color principal rojo, estilo visual deportivo, zona pecho",rojo,deportivo,sol,pecho,4,0,6,3
"Crear camiseta de estilo vintage con motivo de sol en color negro, zona centrado",negro,vintage,sol,centrado,3,4,6,0
Camiseta de color blanco con motivo retro de lobo en la zona centrado,blanco,retro,lobo,centrado,1,2,4,0
Camiseta de color azul con motivo deportivo de árbol en la zona centrado,azul,deportivo,árbol,centrado,0,0,9,0
"Camiseta de color rojo, diseño de árbol, estilo urbano, zona espalda",rojo,urbano,árbol,espalda,4,3,9,1
"Camiseta de color blanco, diseño de texto, estilo urbano, zona pecho",blanco,urbano,texto,pecho,1,3,7,3
"Diseño para camiseta: árbol en posición centrado, color gris, estilo visual vintage",gris,vintage,árbol,centrado,2,4,9,0
Camiseta de color gris con motivo urbano de lobo en la zona pecho,gris,urbano,lobo,pecho,2,3,4,3
"Camiseta con imagen de lobo, color gris, estilo deportivo, posición pecho",gris,deportivo,lobo,pecho,2,0,4,3
"Camiseta con imagen de texto, color blanco, estilo vintage, posición esquina",blanco,vintage,texto,esquina,1,4,7,2
"Diseñar camiseta: elemento gráfico calavera, color negro, estilo minimalista, ubicación pecho",negro,minimalista,calavera,pecho,3,1,1,3
"Quiero una camiseta con diseño de calavera en estilo vintage, color rojo, posición pecho",rojo,vintage,calavera,pecho,4,4,1,3
"Quiero una camiseta con diseño de dragón en estilo minimalista, color verde, posición centrado",verde,minimalista,dragón,centrado,5,1,2,0
Camiseta de color azul con motivo minimalista de árbol en la zona centrado,azul,minimalista,árbol,centrado,0,1,9,0
"Diseño para camiseta: árbol en posición centrado, color negro, estilo visual vintage",negro,vintage,árbol,centrado,3,4,9,0
"Camiseta color blanco, estilo deportivo, con estampado de sol en zona centrado",blanco,deportivo,sol,centrado,1,0,6,0
Camiseta de color verde con motivo minimalista de montaña en la zona pecho,verde,minimalista,montaña,pecho,5,1,5,3
"Camiseta con estampado de guitarra, color principal azul, estilo visual vintage, zona esquina",azul,vintage,guitarra,esquina,0,4,3,2
"Generar camiseta de estilo retro, color verde, imagen de sol en zona centrado",verde,retro,sol,centrado,5,2,6,0
"Quiero diseño de montaña en camiseta color blanco, estilo deportivo, ubicado en pecho",blanco,deportivo,montaña,pecho,1,0,5,3
"Crear camiseta de estilo minimalista con motivo de montaña en color gris, zona pecho",gris,minimalista,montaña,pecho,2,1,5,3
"Generar camiseta de estilo urbano, color azul, imagen de calavera en zona espalda",azul,urbano,calavera,espalda,0,3,1,1
"Quiero diseño de texto en camiseta color blanco, estilo deportivo, ubicado en pecho",blanco,deportivo,texto,pecho,1,0,7,3
"Camiseta con estampado de águila, color principal gris, estilo visual urbano, zona centrado",gris,urbano,águila,centrado,2,3,8,0
"Diseño para camiseta: árbol en posición centrado, color azul, estilo visual vintage",azul,vintage,árbol,centrado,0,4,9,0
"Crear camiseta de estilo minimalista con motivo de dragón en color rojo, zona centrado",rojo,minimalista,dragón,centrado,4,1,2,0
"Crear camiseta de estilo retro con motivo de montaña en color blanco, zona centrado",blanco,retro,montaña,centrado,1,2,5,0
"Necesito una camiseta con gráfico de dragón en zona esquina, color rojo, estilo minimalista",rojo,minimalista,dragón,esquina,4,1,2,2
Camiseta de color azul con motivo deportivo de árbol en la zona esquina,azul,deportivo,árbol,esquina,0,0,9,2
"Camiseta color verde, estilo deportivo, con estampado de guitarra en zona pecho",verde,deportivo,guitarra,pecho,5,0,3,3
"Camiseta con estampado de árbol, color principal azul, estilo visual retro, zona espalda",azul,retro,árbol,espalda,0,2,9,1
"Quiero diseño de sol en camiseta color rojo, estilo retro, ubicado en pecho",rojo,retro,sol,pecho,4,2,6,3
"Quiero estampado de águila en zona centrado, color negro, estilo retro",negro,retro,águila,centrado,3,2,8,0
"Diseño para camiseta: automóvil en posición esquina, color azul, estilo visual vintage",azul,vintage,automóvil,esquina,0,4,0,2
"Quiero una camiseta con diseño de árbol en estilo deportivo, color gris, posición centrado",gris,deportivo,árbol,centrado,2,0,9,0
"Quiero diseño de lobo en camiseta color rojo, estilo minimalista, ubicado en centrado",rojo,minimalista,lobo,centrado,4,1,4,0
"Diseño para camiseta: guitarra en posición centrado, color verde, estilo visual vintage",verde,vintage,guitarra,centrado,5,4,3,0
"Camiseta de color gris, diseño de guitarra, estilo vintage, zona espalda",gris,vintage,guitarra,espalda,2,4,3,1
"Diseño de camiseta: gráfico de dragón, color verde, estilo vintage, posición espalda",verde,vintage,dragón,espalda,5,4,2,1
"Quiero diseño de sol en camiseta color negro, estilo vintage, ubicado en centrado",negro,vintage,sol,centrado,3,4,6,0
"Diseño de camiseta: gráfico de árbol, color rojo, estilo deportivo, posición pecho",rojo,deportivo,árbol,pecho,4,0,9,3
"Diseño de camiseta: gráfico de guitarra, color negro, estilo deportivo, posición esquina",negro,deportivo,guitarra,esquina,3,0,3,2
"Camiseta con estampado de lobo, color principal verde, estilo visual vintage, zona pecho",verde,vintage,lobo,pecho,5,4,4,3
"Camiseta color azul, estilo deportivo, con estampado de calavera en zona pecho",azul,deportivo,calavera,pecho,0,0,1,3
"Necesito una camiseta con gráfico de árbol en zona pecho, color azul, estilo retro",azul,retro,árbol,pecho,0,2,9,3
"Camiseta con imagen de dragón, color rojo, estilo deportivo, posición centrado",rojo,deportivo,dragón,centrado,4,0,2,0
"Camiseta color rojo, estilo retro, con estampado de guitarra en zona espalda",rojo,retro,guitarra,espalda,4,2,3,1
"Quiero diseño de guitarra en camiseta color negro, estilo deportivo, ubicado en centrado",negro,deportivo,guitarra,centrado,3,0,3,0
"Quiero diseño de automóvil en camiseta color verde, estilo retro, ubicado en esquina",verde,retro,automóvil,esquina,5,2,0,2
"Necesito una camiseta con gráfico de texto en zona esquina, color azul, estilo vintage",azul,vintage,texto,esquina,0,4,7,2
"Diseño para camiseta: águila en posición esquina, color verde, estilo visual vintage",verde,vintage,águila,esquina,5,4,8,2
"Diseño de camiseta: gráfico de calavera, color negro, estilo deportivo, posición espalda",negro,deportivo,calavera,espalda,3,0,1,1
"Camiseta con imagen de sol, color rojo, estilo minimalista, posición pecho",rojo,minimalista,sol,pecho,4,1,6,3
"Quiero diseño de montaña en camiseta color rojo, estilo retro, ubicado en espalda",rojo,retro,montaña,espalda,4,2,5,1
"Diseño para camiseta: texto en posición espalda, color gris, estilo visual retro",gris,retro,texto,espalda,2,2,7,1
"Camiseta con imagen de dragón, color negro, estilo minimalista, posición pecho",negro,minimalista,dragón,pecho,3,1,2,3
"Camiseta con imagen de calavera, color gris, estilo minimalista, posición pecho",gris,minimalista,calavera,pecho,2,1,1,3
"Generar camiseta de estilo deportivo, color negro, imagen de lobo en zona esquina",negro,deportivo,lobo,esquina,3,0,4,2
"Camiseta color blanco, estilo vintage, con estampado de sol en zona espalda",blanco,vintage,sol,espalda,1,4,6,1
"Camiseta con imagen de árbol, color rojo, estilo minimalista, posición esquina",rojo,minimalista,árbol,esquina,4,1,9,2
"Diseño para camiseta: águila en posición espalda, color verde, estilo visual retro",verde,retro,águila,espalda,5,2,8,1
"Camiseta con imagen de automóvil, color gris, estilo deportivo, posición esquina",gris,deportivo,automóvil,esquina,2,0,0,2
"Generar camiseta de estilo deportivo, color rojo, imagen de águila en zona centrado",rojo,deportivo,águila,centrado,4,0,8,0
"Diseño de camiseta: gráfico de sol, color negro, estilo vintage, posición pecho",negro,vintage,sol,pecho,3,4,6,3
"Camiseta con estampado de guitarra, color principal gris, estilo visual vintage, zona esquina",gris,vintage,guitarra,esquina,2,4,3,2
Camiseta de color blanco con motivo vintage de montaña en la zona esquina,blanco,vintage,montaña,esquina,1,4,5,2
"Diseño de camiseta: gráfico de lobo, color azul, estilo vintage, posición espalda",azul,vintage,lobo,espalda,0,4,4,1
"Quiero diseño de dragón en camiseta color rojo, estilo deportivo, ubicado en espalda",rojo,deportivo,dragón,espalda,4,0,2,1
"Quiero una camiseta con diseño de calavera en estilo vintage, color blanco, posición pecho",blanco,vintage,calavera,pecho,1,4,1,3
"Crear camiseta de estilo urbano con motivo de dragón en color negro, zona esquina",negro,urbano,dragón,esquina,3,3,2,2
"Camiseta de color azul, diseño de calavera, estilo minimalista, zona pecho",azul,minimalista,calavera,pecho,0,1,1,3
"Necesito una camiseta con gráfico de árbol en zona pecho, color blanco, estilo urbano",blanco,urbano,árbol,pecho,1,3,9,3
"Camiseta color negro, estilo vintage, con estampado de automóvil en zona centrado",negro,vintage,automóvil,centrado,3,4,0,0
"Camiseta color negro, estilo retro, con estampado de dragón en zona espalda",negro,retro,dragón,espalda,3,2,2,1
"Diseño de camiseta: gráfico de guitarra, color azul, estilo deportivo, posición espalda",azul,deportivo,guitarra,espalda,0,0,3,1
Camiseta de color gris con motivo minimalista de águila en la zona espalda,gris,minimalista,águila,espalda,2,1,8,1
"Camiseta con estampado de lobo, color principal azul, estilo visual vintage, zona esquina",azul,vintage,lobo,esquina,0,4,4,2
"Quiero diseño de águila en camiseta color azul, estilo vintage, ubicado en pecho",azul,vintage,águila,pecho,0,4,8,3
"Diseño de camiseta: gráfico de montaña, color azul, estilo vintage, posición pecho",azul,vintage,montaña,pecho,0,4,5,3
"Camiseta con estampado de guitarra, color principal rojo, estilo visual retro, zona espalda",rojo,retro,guitarra,espalda,4,2,3,1
"Diseño para camiseta: águila en posición pecho, color verde, estilo visual urbano",verde,urbano,águila,pecho,5,3,8,3
"Necesito una camiseta con gráfico de guitarra en zona espalda, color azul, estilo deportivo",azul,deportivo,guitarra,espalda,0,0,3,1
"Camiseta con imagen de dragón, color blanco, estilo minimalista, posición pecho",blanco,minimalista,dragón,pecho,1,1,2,3
"Quiero diseño de automóvil en camiseta color gris, estilo retro, ubicado en esquina",gris,retro,automóvil,esquina,2,2,0,2
"Quiero estampado de montaña en zona esquina, color gris, estilo deportivo",gris,deportivo,montaña,esquina,2,0,5,2
"Diseño para camiseta: texto en posición centrado, color azul, estilo visual vintage",azul,vintage,texto,centrado,0,4,7,0
"Necesito una camiseta con gráfico de calavera en zona espalda, color blanco, estilo retro",blanco,retro,calavera,espalda,1,2,1,1
"Quiero una camiseta con diseño de árbol en estilo urbano, color rojo, posición esquina",rojo,urbano,árbol,esquina,4,3,9,2
"Camiseta con imagen de sol, color gris, estilo minimalista, posición pecho",gris,minimalista,sol,pecho,2,1,6,3
"Quiero una camiseta con diseño de texto en estilo deportivo, color negro, posición espalda",negro,deportivo,texto,espalda,3,0,7,1
"Diseño para camiseta: dragón en posición centrado, color verde, estilo visual vintage",verde,vintage,dragón,centrado,5,4,2,0
"Diseño para camiseta: montaña en posición esquina, color negro, estilo visual vintage",negro,vintage,montaña,esquina,3,4,5,2
"Crear camiseta de estilo retro con motivo de texto en color verde, zona centrado",verde,retro,texto,centrado,5,2,7,0
"Quiero estampado de montaña en zona centrado, color negro, estilo deportivo",negro,deportivo,montaña,centrado,3,0,5,0
"Generar camiseta de estilo retro, color gris, imagen de águila en zona centrado",gris,retro,águila,centrado,2,2,8,0
"Diseño de camiseta: gráfico de calavera, color blanco, estilo minimalista, posición pecho",blanco,minimalista,calavera,pecho,1,1,1,3
"Quiero estampado de montaña en zona espalda, color rojo, estilo urbano",rojo,urbano,montaña,espalda,4,3,5,1
"Quiero diseño de automóvil en camiseta color rojo, estilo retro, ubicado en esquina",rojo,retro,automóvil,esquina,4,2,0,2
"Diseño para camiseta: guitarra en posición pecho, color blanco, estilo visual retro",blanco,retro,guitarra,pecho,1,2,3,3
"Camiseta de color rojo, diseño de lobo, estilo deportivo, zona esquina",rojo,deportivo,lobo,esquina,4,0,4,2
"Camiseta color azul, estilo retro, con estampado de árbol en zona centrado",azul,retro,árbol,centrado,0,2,9,0
"Diseñar camiseta: elemento gráfico automóvil, color negro, estilo urbano, ubicación pecho",negro,urbano,automóvil,pecho,3,3,0,3
"Diseñar camiseta: elemento gráfico sol, color negro, estilo deportivo, ubicación pecho",negro,deportivo,sol,pecho,3,0,6,3
"Camiseta con estampado de lobo, color principal gris, estilo visual minimalista, zona pecho",gris,minimalista,lobo,pecho,2,1,4,3
"Diseño para camiseta: calavera en posición espalda, color verde, estilo visual minimalista",verde,minimalista,calavera,espalda,5,1,1,1
"Crear camiseta de estilo urbano con motivo de montaña en color rojo, zona esquina",rojo,urbano,montaña,esquina,4,3,5,2
"Quiero una camiseta con diseño de texto en estilo minimalista, color blanco, posición espalda",blanco,minimalista,texto,espalda,1,1,7,1
"Quiero estampado de montaña en zona centrado, color azul, estilo minimalista",azul,minimalista,montaña,centrado,0,1,5,0
"Crear camiseta de estilo deportivo con motivo de automóvil en color negro, zona espalda",negro,deportivo,automóvil,espalda,3,0,0,1
"Quiero estampado de dragón en zona espalda, color gris, estilo deportivo",gris,deportivo,dragón,espalda,2,0,2,1
"Quiero estampado de dragón en zona espalda, color negro, estilo urbano",negro,urbano,dragón,espalda,3,3,2,1
"Camiseta color verde, estilo minimalista, con estampado de sol en zona pecho",verde,minimalista,sol,pecho,5,1,6,3
"Diseñar camiseta: elemento gráfico montaña, color verde, estilo minimalista, ubicación espalda",verde,minimalista,montaña,espalda,5,1,5,1
Camiseta de color azul con motivo retro de calavera en la zona esquina,azul,retro,calavera,esquina,0,2,1,2
"Diseño para camiseta: automóvil en posición esquina, color azul, estilo visual minimalista",azul,minimalista,automóvil,esquina,0,1,0,2
"Crear camiseta de estilo minimalista con motivo de montaña en color gris, zona centrado",gris,minimalista,montaña,centrado,2,1,5,0
"Necesito una camiseta con gráfico de calavera en zona esquina, color gris, estilo minimalista",gris,minimalista,calavera,esquina,2,1,1,2
"Camiseta de color verde, diseño de dragón, estilo urbano, zona centrado",verde,urbano,dragón,centrado,5,3,2,0
"Camiseta de color verde, diseño de sol, estilo retro, zona pecho",verde,retro,sol,pecho,5,2,6,3
"Quiero una camiseta con diseño de lobo en estilo minimalista, color rojo, posición espalda",rojo,minimalista,lobo,espalda,4,1,4,1
"Necesito una camiseta con gráfico de guitarra en zona centrado, color gris, estilo retro",gris,retro,guitarra,centrado,2,2,3,0
"Camiseta de color blanco, diseño de lobo, estilo minimalista, zona esquina",blanco,minimalista,lobo,esquina,1,1,4,2
"Quiero estampado de automóvil en zona pecho, color gris, estilo vintage",gris,vintage,automóvil,pecho,2,4,0,3
"Crear camiseta de estilo vintage con motivo de águila en color verde, zona espalda",verde,vintage,águila,espalda,5,4,8,1
"Diseño de camiseta: gráfico de automóvil, color azul, estilo vintage, posición espalda",azul,vintage,automóvil,espalda,0,4,0,1
"Camiseta con estampado de texto, color principal azul, estilo visual retro, zona centrado",azul,retro,texto,centrado,0,2,7,0
"Quiero diseño de dragón en camiseta color rojo, estilo urbano, ubicado en esquina",rojo,urbano,dragón,esquina,4,3,2,2
Camiseta de color azul con motivo urbano de sol en la zona centrado,azul,urbano,sol,centrado,0,3,6,0
"Quiero diseño de guitarra en camiseta color gris, estilo deportivo, ubicado en espalda",gris,deportivo,guitarra,espalda,2,0,3,1
"Diseño para camiseta: árbol en posición espalda, color gris, estilo visual deportivo",gris,deportivo,árbol,espalda,2,0,9,1
"Quiero una camiseta con diseño de automóvil en estilo deportivo, color gris, posición pecho",gris,deportivo,automóvil,pecho,2,0,0,3
"Diseño para camiseta: montaña en posición centrado, color blanco, estilo visual deportivo",blanco,deportivo,montaña,centrado,1,0,5,0
Camiseta de color verde con motivo vintage de calavera en la zona pecho,verde,vintage,calavera,pecho,5,4,1,3
"Camiseta de color azul, diseño de montaña, estilo deportivo, zona centrado",azul,deportivo,montaña,centrado,0,0,5,0
"Quiero una camiseta con diseño de texto en estilo minimalista, color rojo, posición pecho",rojo,minimalista,texto,pecho,4,1,7,3
"Necesito una camiseta con gráfico de árbol en zona esquina, color blanco, estilo retro",blanco,retro,árbol,esquina,1,2,9,2
"Necesito una camiseta con gráfico de árbol en zona espalda, color azul, estilo urbano",azul,urbano,árbol,espalda,0,3,9,1
"Diseño de camiseta: gráfico de texto, color negro, estilo urbano, posición pecho",negro,urbano,texto,pecho,3,3,7,3
"Diseño de camiseta: gráfico de guitarra, color verde, estilo deportivo, posición centrado",verde,deportivo,guitarra,centrado,5,0,3,0
"Camiseta con imagen de automóvil, color verde, estilo vintage, posición pecho",verde,vintage,automóvil,pecho,5,4,0,3
"Camiseta con estampado de sol, color principal rojo, estilo visual deportivo, zona espalda",rojo,deportivo,sol,espalda,4,0,6,1
"Quiero diseño de automóvil en camiseta color negro, estilo vintage, ubicado en centrado",negro,vintage,automóvil,centrado,3,4,0,0
"Diseño para camiseta: sol en posición espalda, color azul, estilo visual vintage",azul,vintage,sol,espalda,0,4,6,1
"Camiseta color azul, estilo deportivo, con estampado de árbol en zona pecho",azul,deportivo,árbol,pecho,0,0,9,3
"Diseño de camiseta: gráfico de dragón, color blanco, estilo deportivo, posición esquina",blanco,deportivo,dragón,esquina,1,0,2,2
"Diseñar camiseta: elemento gráfico dragón, color blanco, estilo urbano, ubicación espalda",blanco,urbano,dragón,espalda,1,3,2,1
"Crear camiseta de estilo urbano con motivo de águila en color negro, zona espalda",negro,urbano,águila,espalda,3,3,8,1
"Quiero diseño de lobo en camiseta color blanco, estilo vintage, ubicado en espalda",blanco,vintage,lobo,espalda,1,4,4,1
"Camiseta de color rojo, diseño de sol, estilo minimalista, zona centrado",rojo,minimalista,sol,centrado,4,1,6,0
"Quiero diseño de montaña en camiseta color verde, estilo vintage, ubicado en espalda",verde,vintage,montaña,espalda,5,4,5,1
"Diseño para camiseta: dragón en posición esquina, color gris, estilo visual minimalista",gris,minimalista,dragón,esquina,2,1,2,2
"Diseño de camiseta: gráfico de guitarra, color blanco, estilo minimalista, posición esquina",blanco,minimalista,guitarra,esquina,1,1,3,2
"Camiseta con estampado de texto, color principal gris, estilo visual deportivo, zona esquina",gris,deportivo,texto,esquina,2,0,7,2
"Quiero diseño de montaña en camiseta color verde, estilo vintage, ubicado en esquina",verde,vintage,montaña,esquina,5,4,5,2
"Camiseta de color verde, diseño de dragón, estilo retro, zona esquina",verde,retro,dragón,esquina,5,2,2,2
"Diseño de camiseta: gráfico de guitarra, color azul, estilo minimalista, posición pecho",azul,minimalista,guitarra,pecho,0,1,3,3
"Camiseta color azul, estilo retro, con estampado de águila en zona espalda",azul,retro,águila,espalda,0,2,8,1
Camiseta de color blanco con motivo urbano de lobo en la zona centrado,blanco,urbano,lobo,centrado,1,3,4,0
"Necesito una camiseta con gráfico de calavera en zona esquina, color verde, estilo deportivo",verde,deportivo,calavera,esquina,5,0,1,2
"Camiseta color gris, estilo urbano, con estampado de montaña en zona pecho",gris,urbano,montaña,pecho,2,3,5,3
"Quiero estampado de automóvil en zona esquina, color blanco, estilo vintage",blanco,vintage,automóvil,esquina,1,4,0,2
"Camiseta de color blanco, diseño de automóvil, estilo retro, zona centrado",blanco,retro,automóvil,centrado,1,2,0,0
"Quiero estampado de automóvil en zona centrado, color blanco, estilo deportivo",blanco,deportivo,automóvil,centrado,1,0,0,0
"Necesito una camiseta con gráfico de sol en zona esquina, color blanco, estilo vintage",blanco,vintage,sol,esquina,1,4,6,2
"Necesito una camiseta con gráfico de montaña en zona esquina, color azul, estilo retro",azul,retro,montaña,esquina,0,2,5,2
"Camiseta color rojo, estilo deportivo, con estampado de árbol en zona esquina",rojo,deportivo,árbol,esquina,4,0,9,2
"Camiseta color gris, estilo minimalista, con estampado de guitarra en zona centrado",gris,minimalista,guitarra,centrado,2,1,3,0
"Diseñar camiseta: elemento gráfico calavera, color negro, estilo deportivo, ubicación pecho",negro,deportivo,calavera,pecho,3,0,1,3
"Quiero estampado de árbol en zona espalda, color blanco, estilo vintage",blanco,vintage,árbol,espalda,1,4,9,1
"Quiero una camiseta con diseño de dragón en estilo urbano, color rojo, posición pecho",rojo,urbano,dragón,pecho,4,3,2,3
"Crear camiseta de estilo urbano con motivo de texto en color rojo, zona pecho",rojo,urbano,texto,pecho,4,3,7,3
"Quiero una camiseta con diseño de montaña en estilo deportivo, color rojo, posición pecho",rojo,deportivo,montaña,pecho,4,0,5,3
"Diseño para camiseta: árbol en posición espalda, color blanco, estilo visual urbano",blanco,urbano,árbol,espalda,1,3,9,1
"Crear camiseta de estilo urbano con motivo de calavera en color azul, zona espalda",azul,urbano,calavera,espalda,0,3,1,1
"Camiseta color azul, estilo urbano, con estampado de lobo en zona espalda",azul,urbano,lobo,espalda,0,3,4,1
"Generar camiseta de estilo vintage, color rojo, imagen de águila en zona centrado",rojo,vintage,águila,centrado,4,4,8,0
"Camiseta con imagen de montaña, color rojo, estilo minimalista, posición esquina",rojo,minimalista,montaña,esquina,4,1,5,2
"Necesito una camiseta con gráfico de lobo en zona centrado, color verde, estilo minimalista",verde,minimalista,lobo,centrado,5,1,4,0
"Necesito una camiseta con gráfico de texto en zona espalda, color rojo, estilo retro",rojo,retro,texto,espalda,4,2,7,1
"Generar camiseta de estilo deportivo, color rojo, imagen de árbol en zona esquina",rojo,deportivo,árbol,esquina,4,0,9,2
"Diseñar camiseta: elemento gráfico águila, color blanco, estilo urbano, ubicación espalda",blanco,urbano,águila,espalda,1,3,8,1
"Camiseta de color gris, diseño de automóvil, estilo vintage, zona centrado",gris,vintage,automóvil,centrado,2,4,0,0
"Diseño de camiseta: gráfico de lobo, color gris, estilo vintage, posición espalda",gris,vintage,lobo,espalda,2,4,4,1
"Camiseta de color negro, diseño de texto, estilo vintage, zona pecho",negro,vintage,texto,pecho,3,4,7,3
"Quiero una camiseta con diseño de guitarra en estilo retro, color verde, posición espalda",verde,retro,guitarra,espalda,5,2,3,1
"Generar camiseta de estilo retro, color azul, imagen de calavera en zona pecho",azul,retro,calavera,pecho,0,2,1,3
"Generar camiseta de estilo minimalista, color blanco, imagen de árbol en zona esquina",blanco,minimalista,árbol,esquina,1,1,9,2
"Quiero una camiseta con diseño de sol en estilo vintage, color negro, posición espalda",negro,vintage,sol,espalda,3,4,6,1
"Camiseta de color negro, diseño de águila, estilo vintage, zona espalda",negro,vintage,águila,espalda,3,4,8,1
"Quiero estampado de dragón en zona centrado, color blanco, estilo deportivo",blanco,deportivo,dragón,centrado,1,0,2,0
Camiseta de color blanco con motivo vintage de calavera en la zona centrado,blanco,vintage,calavera,centrado,1,4,1,0
"Quiero estampado de sol en zona espalda, color negro, estilo minimalista",negro,minimalista,sol,espalda,3,1,6,1
"Quiero diseño de águila en camiseta color azul, estilo vintage, ubicado en espalda",azul,vintage,águila,espalda,0,4,8,1
Camiseta de color azul con motivo retro de automóvil en la zona espalda,azul,retro,automóvil,espalda,0,2,0,1
"Diseño de camiseta: gráfico de calavera, color azul, estilo deportivo, posición esquina",azul,deportivo,calavera,esquina,0,0,1,2
"Quiero estampado de montaña en zona pecho, color rojo, estilo minimalista",rojo,minimalista,montaña,pecho,4,1,5,3
"Generar camiseta de estilo vintage, color blanco, imagen de árbol en zona pecho",blanco,vintage,árbol,pecho,1,4,9,3
"Camiseta con estampado de montaña, color principal rojo, estilo visual deportivo, zona espalda",rojo,deportivo,montaña,espalda,4,0,5,1
Camiseta de color azul con motivo urbano de texto en la zona esquina,azul,urbano,texto,esquina,0,3,7,2
"Camiseta con imagen de árbol, color verde, estilo urbano, posición espalda",verde,urbano,árbol,espalda,5,3,9,1
"Camiseta con estampado de calavera, color principal verde, estilo visual vintage, zona centrado",verde,vintage,calavera,centrado,5,4,1,0
"Camiseta de color azul, diseño de montaña, estilo urbano, zona esquina",azul,urbano,montaña,esquina,0,3,5,2
"Diseño de camiseta: gráfico de guitarra, color negro, estilo urbano, posición espalda",negro,urbano,guitarra,espalda,3,3,3,1
Camiseta de color azul con motivo urbano de guitarra en la zona espalda,azul,urbano,guitarra,espalda,0,3,3,1
"Necesito una camiseta con gráfico de lobo en zona esquina, color blanco, estilo deportivo",blanco,deportivo,lobo,esquina,1,0,4,2
"Diseñar camiseta: elemento gráfico sol, color verde, estilo deportivo, ubicación pecho",verde,deportivo,sol,pecho,5,0,6,3
"Camiseta con estampado de dragón, color principal azul, estilo visual minimalista, zona centrado",azul,minimalista,dragón,centrado,0,1,2,0
"Crear camiseta de estilo retro con motivo de montaña en color verde, zona centrado",verde,retro,montaña,centrado,5,2,5,0
"Quiero diseño de árbol en camiseta color gris, estilo deportivo, ubicado en pecho",gris,deportivo,árbol,pecho,2,0,9,3
