id,prompt,color,estilo,elemento,posicion
483,"Crear camiseta de estilo urbano con motivo de montaña en color rojo, zona esquina",rojo,urbano,montaña,esquina
484,"Quiero estampado de montaña en zona espalda, color rojo, estilo urbano",rojo,urbano,montaña,espalda
485,"Diseñar camiseta: elemento gráfico guitarra, color rojo, estilo urbano, ubicación centrado",rojo,urbano,guitarra,centrado
486,"Necesito una camiseta con gráfico de guitarra en zona pecho, color rojo, estilo urbano",rojo,urbano,guitarra,pecho
487,"Necesito una camiseta con gráfico de guitarra en zona esquina, color rojo, estilo urbano",rojo,urbano,guitarra,esquina
488,"Camiseta con imagen de guitarra, color rojo, estilo urbano, posición espalda",rojo,urbano,guitarra,espalda
489,"Camiseta con estampado de calavera, color principal rojo, estilo visual urbano, zona centrado",rojo,urbano,calavera,centrado
490,"Crear camiseta de estilo urbano con motivo de calavera en color rojo, zona pecho",rojo,urbano,calavera,pecho
491,"Generar camiseta de estilo urbano, color rojo, imagen de calavera en zona esquina",rojo,urbano,calavera,esquina
492,"Camiseta con estampado de calavera, color principal rojo, estilo visual urbano, zona espalda",rojo,urbano,calavera,espalda
493,"Diseño de camiseta: gráfico de lobo, color rojo, estilo urbano, posición centrado",rojo,urbano,lobo,centrado
494,"Diseño de camiseta: gráfico de lobo, color rojo, estilo urbano, posición pecho",rojo,urbano,lobo,pecho
495,"Quiero diseño de lobo en camiseta color rojo, estilo urbano, ubicado en esquina",rojo,urbano,lobo,esquina
496,"Necesito una camiseta con gráfico de lobo en zona espalda, color rojo, estilo urbano",rojo,urbano,lobo,espalda
497,"Quiero estampado de águila en zona centrado, color rojo, estilo urbano",rojo,urbano,águila,centrado
498,"Camiseta color rojo, estilo urbano, con estampado de águila en zona pecho",rojo,urbano,águila,pecho
499,"Necesito una camiseta con gráfico de águila en zona esquina, color rojo, estilo urbano",rojo,urbano,águila,esquina
500,"Quiero diseño de águila en camiseta color rojo, estilo urbano, ubicado en espalda",rojo,urbano,águila,espalda
501,"Camiseta de color rojo, diseño de sol, estilo urbano, zona centrado",rojo,urbano,sol,centrado
502,"Quiero una camiseta con diseño de sol en estilo urbano, color rojo, posición pecho",rojo,urbano,sol,pecho
503,"Diseño de camiseta: gráfico de sol, color rojo, estilo urbano, posición esquina",rojo,urbano,sol,esquina
504,"Diseño para camiseta: sol en posición espalda, color rojo, estilo visual urbano",rojo,urbano,sol,espalda
505,"Quiero diseño de árbol en camiseta color rojo, estilo urbano, ubicado en centrado",rojo,urbano,árbol,centrado
506,"Necesito una camiseta con gráfico de árbol en zona pecho, color rojo, estilo urbano",rojo,urbano,árbol,pecho
507,"Camiseta de color rojo, diseño de árbol, estilo urbano, zona esquina",rojo,urbano,árbol,esquina
508,"Camiseta de color rojo, diseño de árbol, estilo urbano, zona espalda",rojo,urbano,árbol,espalda
509,"Generar camiseta de estilo urbano, color rojo, imagen de automóvil en zona centrado",rojo,urbano,automóvil,centrado
510,Camiseta de color rojo con motivo urbano de automóvil en la zona pecho,rojo,urbano,automóvil,pecho
511,"Diseñar camiseta: elemento gráfico automóvil, color rojo, estilo urbano, ubicación esquina",rojo,urbano,automóvil,esquina
512,"Diseño de camiseta: gráfico de automóvil, color rojo, estilo urbano, posición espalda",rojo,urbano,automóvil,espalda
513,"Necesito una camiseta con gráfico de dragón en zona centrado, color rojo, estilo urbano",rojo,urbano,dragón,centrado
514,"Diseñar camiseta: elemento gráfico dragón, color rojo, estilo urbano, ubicación pecho",rojo,urbano,dragón,pecho
515,"Crear camiseta de estilo urbano con motivo de dragón en color rojo, zona esquina",rojo,urbano,dragón,esquina
516,"Camiseta color rojo, estilo urbano, con estampado de dragón en zona espalda",rojo,urbano,dragón,espalda
517,"Quiero estampado de texto en zona centrado, color rojo, estilo urbano",rojo,urbano,texto,centrado
518,"Crear camiseta de estilo urbano con motivo de texto en color rojo, zona pecho",rojo,urbano,texto,pecho
519,"Diseño para camiseta: texto en posición esquina, color rojo, estilo visual urbano",rojo,urbano,texto,esquina
520,"Quiero estampado de texto en zona espalda, color rojo, estilo urbano",rojo,urbano,texto,espalda
521,"Camiseta de color rojo, diseño de montaña, estilo deportivo, zona centrado",rojo,deportivo,montaña,centrado
522,"Quiero una camiseta con diseño de montaña en estilo deportivo, color rojo, posición pecho",rojo,deportivo,montaña,pecho
523,"Quiero una camiseta con diseño de montaña en estilo deportivo, color rojo, posición esquina",rojo,deportivo,montaña,esquina
524,"Crear camiseta de estilo deportivo con motivo de montaña en color rojo, zona espalda",rojo,deportivo,montaña,espalda
525,"Diseñar camiseta: elemento gráfico guitarra, color rojo, estilo deportivo, ubicación centrado",rojo,deportivo,guitarra,centrado
526,"Quiero estampado de guitarra en zona pecho, color rojo, estilo deportivo",rojo,deportivo,guitarra,pecho
527,"Camiseta de color rojo, diseño de guitarra, estilo deportivo, zona esquina",rojo,deportivo,guitarra,esquina
528,"Quiero diseño de guitarra en camiseta color rojo, estilo deportivo, ubicado en espalda",rojo,deportivo,guitarra,espalda
529,"Generar camiseta de estilo deportivo, color rojo, imagen de calavera en zona centrado",rojo,deportivo,calavera,centrado
530,"Camiseta con imagen de calavera, color rojo, estilo deportivo, posición pecho",rojo,deportivo,calavera,pecho
531,"Quiero estampado de calavera en zona esquina, color rojo, estilo deportivo",rojo,deportivo,calavera,esquina
532,"Diseñar camiseta: elemento gráfico calavera, color rojo, estilo deportivo, ubicación espalda",rojo,deportivo,calavera,espalda
533,"Diseño para camiseta: lobo en posición centrado, color rojo, estilo visual deportivo",rojo,deportivo,lobo,centrado
534,"Diseñar camiseta: elemento gráfico lobo, color rojo, estilo deportivo, ubicación pecho",rojo,deportivo,lobo,pecho
535,"Camiseta de color rojo, diseño de lobo, estilo deportivo, zona esquina",rojo,deportivo,lobo,esquina
536,"Necesito una camiseta con gráfico de lobo en zona espalda, color rojo, estilo deportivo",rojo,deportivo,lobo,espalda
537,"Generar camiseta de estilo deportivo, color rojo, imagen de águila en zona centrado",rojo,deportivo,águila,centrado
538,Camiseta de color rojo con motivo deportivo de águila en la zona pecho,rojo,deportivo,águila,pecho
539,"Quiero diseño de águila en camiseta color rojo, estilo deportivo, ubicado en esquina",rojo,deportivo,águila,esquina
540,"Camiseta de color rojo, diseño de águila, estilo deportivo, zona espalda",rojo,deportivo,águila,espalda
541,"Generar camiseta de estilo deportivo, color rojo, imagen de sol en zona centrado",rojo,deportivo,sol,centrado
542,"Camiseta con estampado de sol, color principal rojo, estilo visual deportivo, zona pecho",rojo,deportivo,sol,pecho
543,"Diseño de camiseta: gráfico de sol, color rojo, estilo deportivo, posición esquina",rojo,deportivo,sol,esquina
544,"Camiseta con estampado de sol, color principal rojo, estilo visual deportivo, zona espalda",rojo,deportivo,sol,espalda
545,"Diseño de camiseta: gráfico de árbol, color rojo, estilo deportivo, posición centrado",rojo,deportivo,árbol,centrado
546,"Quiero una camiseta con diseño de árbol en estilo deportivo, color rojo, posición pecho",rojo,deportivo,árbol,pecho
547,"Generar camiseta de estilo deportivo, color rojo, imagen de árbol en zona esquina",rojo,deportivo,árbol,esquina
548,Camiseta de color rojo con motivo deportivo de árbol en la zona espalda,rojo,deportivo,árbol,espalda
549,"Quiero estampado de automóvil en zona centrado, color rojo, estilo deportivo",rojo,deportivo,automóvil,centrado
550,"Quiero diseño de automóvil en camiseta color rojo, estilo deportivo, ubicado en pecho",rojo,deportivo,automóvil,pecho
551,"Diseño para camiseta: automóvil en posición esquina, color rojo, estilo visual deportivo",rojo,deportivo,automóvil,esquina
552,"Camiseta con imagen de automóvil, color rojo, estilo deportivo, posición espalda",rojo,deportivo,automóvil,espalda
553,"Crear camiseta de estilo deportivo con motivo de dragón en color rojo, zona centrado",rojo,deportivo,dragón,centrado
554,"Diseñar camiseta: elemento gráfico dragón, color rojo, estilo deportivo, ubicación pecho",rojo,deportivo,dragón,pecho
555,"Camiseta con estampado de dragón, color principal rojo, estilo visual deportivo, zona esquina",rojo,deportivo,dragón,esquina
556,"Quiero diseño de dragón en camiseta color rojo, estilo deportivo, ubicado en espalda",rojo,deportivo,dragón,espalda
557,"Diseñar camiseta: elemento gráfico texto, color rojo, estilo deportivo, ubicación centrado",rojo,deportivo,texto,centrado
558,Camiseta de color rojo con motivo deportivo de texto en la zona pecho,rojo,deportivo,texto,pecho
559,Camiseta de color rojo con motivo deportivo de texto en la zona esquina,rojo,deportivo,texto,esquina
560,"Diseñar camiseta: elemento gráfico texto, color rojo, estilo deportivo, ubicación espalda",rojo,deportivo,texto,espalda
561,"Diseño para camiseta: montaña en posición centrado, color rojo, estilo visual retro",rojo,retro,montaña,centrado
562,"Camiseta de color rojo, diseño de montaña, estilo retro, zona pecho",rojo,retro,montaña,pecho
563,"Diseñar camiseta: elemento gráfico montaña, color rojo, estilo retro, ubicación esquina",rojo,retro,montaña,esquina
564,"Crear camiseta de estilo retro con motivo de montaña en color rojo, zona espalda",rojo,retro,montaña,espalda
565,"Generar camiseta de estilo retro, color rojo, imagen de guitarra en zona centrado",rojo,retro,guitarra,centrado
566,Camiseta de color rojo con motivo retro de guitarra en la zona pecho,rojo,retro,guitarra,pecho
567,"Diseño para camiseta: guitarra en posición esquina, color rojo, estilo visual retro",rojo,retro,guitarra,esquina
568,Camiseta de color rojo con motivo retro de guitarra en la zona espalda,rojo,retro,guitarra,espalda
569,"Diseño de camiseta: gráfico de calavera, color rojo, estilo retro, posición centrado",rojo,retro,calavera,centrado
570,"Quiero diseño de calavera en camiseta color rojo, estilo retro, ubicado en pecho",rojo,retro,calavera,pecho
571,"Crear camiseta de estilo retro con motivo de calavera en color rojo, zona esquina",rojo,retro,calavera,esquina
572,Camiseta de color rojo con motivo retro de calavera en la zona espalda,rojo,retro,calavera,espalda
573,"Camiseta con estampado de lobo, color principal rojo, estilo visual retro, zona centrado",rojo,retro,lobo,centrado
574,"Necesito una camiseta con gráfico de lobo en zona pecho, color rojo, estilo retro",rojo,retro,lobo,pecho
575,"Diseñar camiseta: elemento gráfico lobo, color rojo, estilo retro, ubicación esquina",rojo,retro,lobo,esquina
576,Camiseta de color rojo con motivo retro de lobo en la zona espalda,rojo,retro,lobo,espalda
577,"Crear camiseta de estilo retro con motivo de águila en color rojo, zona centrado",rojo,retro,águila,centrado
578,"Quiero una camiseta con diseño de águila en estilo retro, color rojo, posición pecho",rojo,retro,águila,pecho
579,"Diseño para camiseta: águila en posición esquina, color rojo, estilo visual retro",rojo,retro,águila,esquina
580,"Quiero diseño de águila en camiseta color rojo, estilo retro, ubicado en espalda",rojo,retro,águila,espalda
581,"Camiseta de color rojo, diseño de sol, estilo retro, zona centrado",rojo,retro,sol,centrado
582,"Quiero diseño de sol en camiseta color rojo, estilo retro, ubicado en pecho",rojo,retro,sol,pecho
583,"Camiseta color rojo, estilo retro, con estampado de sol en zona esquina",rojo,retro,sol,esquina
584,"Camiseta con estampado de sol, color principal rojo, estilo visual retro, zona espalda",rojo,retro,sol,espalda
585,"Camiseta con estampado de árbol, color principal rojo, estilo visual retro, zona centrado",rojo,retro,árbol,centrado
586,"Quiero diseño de árbol en camiseta color rojo, estilo retro, ubicado en pecho",rojo,retro,árbol,pecho
587,"Camiseta color rojo, estilo retro, con estampado de árbol en zona esquina",rojo,retro,árbol,esquina
588,"Generar camiseta de estilo retro, color rojo, imagen de árbol en zona espalda",rojo,retro,árbol,espalda
589,"Necesito una camiseta con gráfico de automóvil en zona centrado, color rojo, estilo retro",rojo,retro,automóvil,centrado
590,"Quiero diseño de automóvil en camiseta color rojo, estilo retro, ubicado en pecho",rojo,retro,automóvil,pecho
591,Camiseta de color rojo con motivo retro de automóvil en la zona esquina,rojo,retro,automóvil,esquina
592,"Quiero diseño de automóvil en camiseta color rojo, estilo retro, ubicado en espalda",rojo,retro,automóvil,espalda
593,"Camiseta con estampado de dragón, color principal rojo, estilo visual retro, zona centrado",rojo,retro,dragón,centrado
594,"Camiseta con estampado de dragón, color principal rojo, estilo visual retro, zona pecho",rojo,retro,dragón,pecho
595,"Camiseta de color rojo, diseño de dragón, estilo retro, zona esquina",rojo,retro,dragón,esquina
596,"Diseño de camiseta: gráfico de dragón, color rojo, estilo retro, posición espalda",rojo,retro,dragón,espalda
597,"Camiseta con estampado de texto, color principal rojo, estilo visual retro, zona centrado",rojo,retro,texto,centrado
598,"Diseño para camiseta: texto en posición pecho, color rojo, estilo visual retro",rojo,retro,texto,pecho
599,"Generar camiseta de estilo retro, color rojo, imagen de texto en zona esquina",rojo,retro,texto,esquina
600,"Necesito una camiseta con gráfico de texto en zona espalda, color rojo, estilo retro",rojo,retro,texto,espalda
601,"Quiero diseño de montaña en camiseta color azul, estilo minimalista, ubicado en centrado",azul,minimalista,montaña,centrado
602,"Quiero una camiseta con diseño de montaña en estilo minimalista, color azul, posición pecho",azul,minimalista,montaña,pecho
603,Camiseta de color azul con motivo minimalista de montaña en la zona esquina,azul,minimalista,montaña,esquina
604,"Necesito una camiseta con gráfico de montaña en zona espalda, color azul, estilo minimalista",azul,minimalista,montaña,espalda
605,"Generar camiseta de estilo minimalista, color azul, imagen de guitarra en zona centrado",azul,minimalista,guitarra,centrado
606,"Diseño de camiseta: gráfico de guitarra, color azul, estilo minimalista, posición pecho",azul,minimalista,guitarra,pecho
607,"Quiero estampado de guitarra en zona esquina, color azul, estilo minimalista",azul,minimalista,guitarra,esquina
608,"Diseño para camiseta: guitarra en posición espalda, color azul, estilo visual minimalista",azul,minimalista,guitarra,espalda
609,"Diseño de camiseta: gráfico de calavera, color azul, estilo minimalista, posición centrado",azul,minimalista,calavera,centrado
610,"Quiero diseño de calavera en camiseta color azul, estilo minimalista, ubicado en pecho",azul,minimalista,calavera,pecho
611,"Quiero estampado de calavera en zona esquina, color azul, estilo minimalista",azul,minimalista,calavera,esquina
612,"Generar camiseta de estilo minimalista, color azul, imagen de calavera en zona espalda",azul,minimalista,calavera,espalda
613,"Camiseta de color azul, diseño de lobo, estilo minimalista, zona centrado",azul,minimalista,lobo,centrado
614,"Quiero una camiseta con diseño de lobo en estilo minimalista, color azul, posición pecho",azul,minimalista,lobo,pecho
615,"Necesito una camiseta con gráfico de lobo en zona esquina, color azul, estilo minimalista",azul,minimalista,lobo,esquina
616,"Diseñar camiseta: elemento gráfico lobo, color azul, estilo minimalista, ubicación espalda",azul,minimalista,lobo,espalda
617,"Camiseta con imagen de águila, color azul, estilo minimalista, posición centrado",azul,minimalista,águila,centrado
618,"Necesito una camiseta con gráfico de águila en zona pecho, color azul, estilo minimalista",azul,minimalista,águila,pecho
619,"Camiseta de color azul, diseño de águila, estilo minimalista, zona esquina",azul,minimalista,águila,esquina
620,"Quiero una camiseta con diseño de águila en estilo minimalista, color azul, posición espalda",azul,minimalista,águila,espalda
621,"Camiseta con imagen de sol, color azul, estilo minimalista, posición centrado",azul,minimalista,sol,centrado
622,"Diseño para camiseta: sol en posición pecho, color azul, estilo visual minimalista",azul,minimalista,sol,pecho
623,"Generar camiseta de estilo minimalista, color azul, imagen de sol en zona esquina",azul,minimalista,sol,esquina
624,"Crear camiseta de estilo minimalista con motivo de sol en color azul, zona espalda",azul,minimalista,sol,espalda
625,Camiseta de color azul con motivo minimalista de árbol en la zona centrado,azul,minimalista,árbol,centrado
626,"Generar camiseta de estilo minimalista, color azul, imagen de árbol en zona pecho",azul,minimalista,árbol,pecho
627,"Diseño para camiseta: árbol en posición esquina, color azul, estilo visual minimalista",azul,minimalista,árbol,esquina
628,"Camiseta con imagen de árbol, color azul, estilo minimalista, posición espalda",azul,minimalista,árbol,espalda
629,"Quiero estampado de automóvil en zona centrado, color azul, estilo minimalista",azul,minimalista,automóvil,centrado
630,"Quiero una camiseta con diseño de automóvil en estilo minimalista, color azul, posición pecho",azul,minimalista,automóvil,pecho
631,"Diseño para camiseta: automóvil en posición esquina, color azul, estilo visual minimalista",azul,minimalista,automóvil,esquina
632,"Camiseta con imagen de automóvil, color azul, estilo minimalista, posición espalda",azul,minimalista,automóvil,espalda
633,"Camiseta con estampado de dragón, color principal azul, estilo visual minimalista, zona centrado",azul,minimalista,dragón,centrado
634,"Necesito una camiseta con gráfico de dragón en zona pecho, color azul, estilo minimalista",azul,minimalista,dragón,pecho
635,"Camiseta de color azul, diseño de dragón, estilo minimalista, zona esquina",azul,minimalista,dragón,esquina
636,"Crear camiseta de estilo minimalista con motivo de dragón en color azul, zona espalda",azul,minimalista,dragón,espalda
637,"Diseño para camiseta: texto en posición centrado, color azul, estilo visual minimalista",azul,minimalista,texto,centrado
638,"Camiseta de color azul, diseño de texto, estilo minimalista, zona pecho",azul,minimalista,texto,pecho
639,"Quiero estampado de texto en zona esquina, color azul, estilo minimalista",azul,minimalista,texto,esquina
640,Camiseta de color azul con motivo minimalista de texto en la zona espalda,azul,minimalista,texto,espalda
641,"Quiero estampado de montaña en zona centrado, color azul, estilo vintage",azul,vintage,montaña,centrado
642,"Diseño de camiseta: gráfico de montaña, color azul, estilo vintage, posición pecho",azul,vintage,montaña,pecho
643,"Crear camiseta de estilo vintage con motivo de montaña en color azul, zona esquina",azul,vintage,montaña,esquina
644,"Crear camiseta de estilo vintage con motivo de montaña en color azul, zona espalda",azul,vintage,montaña,espalda
645,"Crear camiseta de estilo vintage con motivo de guitarra en color azul, zona centrado",azul,vintage,guitarra,centrado
646,"Diseño de camiseta: gráfico de guitarra, color azul, estilo vintage, posición pecho",azul,vintage,guitarra,pecho
647,"Camiseta con estampado de guitarra, color principal azul, estilo visual vintage, zona esquina",azul,vintage,guitarra,esquina
648,"Generar camiseta de estilo vintage, color azul, imagen de guitarra en zona espalda",azul,vintage,guitarra,espalda
649,"Diseño para camiseta: calavera en posición centrado, color azul, estilo visual vintage",azul,vintage,calavera,centrado
650,"Quiero una camiseta con diseño de calavera en estilo vintage, color azul, posición pecho",azul,vintage,calavera,pecho
651,"Diseño de camiseta: gráfico de calavera, color azul, estilo vintage, posición esquina",azul,vintage,calavera,esquina
652,"Generar camiseta de estilo vintage, color azul, imagen de calavera en zona espalda",azul,vintage,calavera,espalda
653,"Camiseta con imagen de lobo, color azul, estilo vintage, posición centrado",azul,vintage,lobo,centrado
654,"Generar camiseta de estilo vintage, color azul, imagen de lobo en zona pecho",azul,vintage,lobo,pecho
655,"Diseño de camiseta: gráfico de lobo, color azul, estilo vintage, posición esquina",azul,vintage,lobo,esquina
656,"Quiero diseño de lobo en camiseta color azul, estilo vintage, ubicado en espalda",azul,vintage,lobo,espalda
657,"Quiero una camiseta con diseño de águila en estilo vintage, color azul, posición centrado",azul,vintage,águila,centrado
658,"Crear camiseta de estilo vintage con motivo de águila en color azul, zona pecho",azul,vintage,águila,pecho
659,"Necesito una camiseta con gráfico de águila en zona esquina, color azul, estilo vintage",azul,vintage,águila,esquina
660,"Quiero estampado de águila en zona espalda, color azul, estilo vintage",azul,vintage,águila,espalda
661,"Necesito una camiseta con gráfico de sol en zona centrado, color azul, estilo vintage",azul,vintage,sol,centrado
662,"Diseño de camiseta: gráfico de sol, color azul, estilo vintage, posición pecho",azul,vintage,sol,pecho
663,"Diseño para camiseta: sol en posición esquina, color azul, estilo visual vintage",azul,vintage,sol,esquina
664,"Generar camiseta de estilo vintage, color azul, imagen de sol en zona espalda",azul,vintage,sol,espalda
665,"Diseño para camiseta: árbol en posición centrado, color azul, estilo visual vintage",azul,vintage,árbol,centrado
666,"Crear camiseta de estilo vintage con motivo de árbol en color azul, zona pecho",azul,vintage,árbol,pecho
667,"Necesito una camiseta con gráfico de árbol en zona esquina, color azul, estilo vintage",azul,vintage,árbol,esquina
668,"Quiero estampado de árbol en zona espalda, color azul, estilo vintage",azul,vintage,árbol,espalda
669,"Diseñar camiseta: elemento gráfico automóvil, color azul, estilo vintage, ubicación centrado",azul,vintage,automóvil,centrado
670,"Camiseta con estampado de automóvil, color principal azul, estilo visual vintage, zona pecho",azul,vintage,automóvil,pecho
671,"Diseño para camiseta: automóvil en posición esquina, color azul, estilo visual vintage",azul,vintage,automóvil,esquina
672,"Diseño de camiseta: gráfico de automóvil, color azul, estilo vintage, posición espalda",azul,vintage,automóvil,espalda
673,"Diseño para camiseta: dragón en posición centrado, color azul, estilo visual vintage",azul,vintage,dragón,centrado
674,"Diseño de camiseta: gráfico de dragón, color azul, estilo vintage, posición pecho",azul,vintage,dragón,pecho
675,"Crear camiseta de estilo vintage con motivo de dragón en color azul, zona esquina",azul,vintage,dragón,esquina
676,"Diseñar camiseta: elemento gráfico dragón, color azul, estilo vintage, ubicación espalda",azul,vintage,dragón,espalda
677,"Camiseta con imagen de texto, color azul, estilo vintage, posición centrado",azul,vintage,texto,centrado
678,"Camiseta con imagen de texto, color azul, estilo vintage, posición pecho",azul,vintage,texto,pecho
679,"Necesito una camiseta con gráfico de texto en zona esquina, color azul, estilo vintage",azul,vintage,texto,esquina
680,"Diseño para camiseta: texto en posición espalda, color azul, estilo visual vintage",azul,vintage,texto,espalda
681,"Quiero estampado de montaña en zona centrado, color azul, estilo urbano",azul,urbano,montaña,centrado
682,"Quiero diseño de montaña en camiseta color azul, estilo urbano, ubicado en pecho",azul,urbano,montaña,pecho
683,"Camiseta de color azul, diseño de montaña, estilo urbano, zona esquina",azul,urbano,montaña,esquina
684,"Necesito una camiseta con gráfico de montaña en zona espalda, color azul, estilo urbano",azul,urbano,montaña,espalda
685,"Necesito una camiseta con gráfico de guitarra en zona centrado, color azul, estilo urbano",azul,urbano,guitarra,centrado
686,"Camiseta con estampado de guitarra, color principal azul, estilo visual urbano, zona pecho",azul,urbano,guitarra,pecho
687,"Diseño para camiseta: guitarra en posición esquina, color azul, estilo visual urbano",azul,urbano,guitarra,esquina
688,Camiseta de color azul con motivo urbano de guitarra en la zona espalda,azul,urbano,guitarra,espalda
689,"Camiseta con imagen de calavera, color azul, estilo urbano, posición centrado",azul,urbano,calavera,centrado
690,"Camiseta con imagen de calavera, color azul, estilo urbano, posición pecho",azul,urbano,calavera,pecho
691,"Diseño de camiseta: gráfico de calavera, color azul, estilo urbano, posición esquina",azul,urbano,calavera,esquina
692,"Generar camiseta de estilo urbano, color azul, imagen de calavera en zona espalda",azul,urbano,calavera,espalda
693,"Camiseta color azul, estilo urbano, con estampado de lobo en zona centrado",azul,urbano,lobo,centrado
694,"Camiseta color azul, estilo urbano, con estampado de lobo en zona pecho",azul,urbano,lobo,pecho
695,"Camiseta color azul, estilo urbano, con estampado de lobo en zona esquina",azul,urbano,lobo,esquina
696,"Diseño de camiseta: gráfico de lobo, color azul, estilo urbano, posición espalda",azul,urbano,lobo,espalda
697,"Camiseta con estampado de águila, color principal azul, estilo visual urbano, zona centrado",azul,urbano,águila,centrado
698,"Quiero estampado de águila en zona pecho, color azul, estilo urbano",azul,urbano,águila,pecho
699,"Camiseta color azul, estilo urbano, con estampado de águila en zona esquina",azul,urbano,águila,esquina
700,Camiseta de color azul con motivo urbano de águila en la zona espalda,azul,urbano,águila,espalda
701,Camiseta de color azul con motivo urbano de sol en la zona centrado,azul,urbano,sol,centrado
702,"Crear camiseta de estilo urbano con motivo de sol en color azul, zona pecho",azul,urbano,sol,pecho
703,"Diseñar camiseta: elemento gráfico sol, color azul, estilo urbano, ubicación esquina",azul,urbano,sol,esquina
704,"Diseño de camiseta: gráfico de sol, color azul, estilo urbano, posición espalda",azul,urbano,sol,espalda
705,"Quiero una camiseta con diseño de árbol en estilo urbano, color azul, posición centrado",azul,urbano,árbol,centrado
706,"Necesito una camiseta con gráfico de árbol en zona pecho, color azul, estilo urbano",azul,urbano,árbol,pecho
707,"Quiero estampado de árbol en zona esquina, color azul, estilo urbano",azul,urbano,árbol,esquina
708,"Diseño de camiseta: gráfico de árbol, color azul, estilo urbano, posición espalda",azul,urbano,árbol,espalda
709,"Diseño de camiseta: gráfico de automóvil, color azul, estilo urbano, posición centrado",azul,urbano,automóvil,centrado
710,"Camiseta con imagen de automóvil, color azul, estilo urbano, posición pecho",azul,urbano,automóvil,pecho
711,"Generar camiseta de estilo urbano, color azul, imagen de automóvil en zona esquina",azul,urbano,automóvil,esquina
712,"Quiero una camiseta con diseño de automóvil en estilo urbano, color azul, posición espalda",azul,urbano,automóvil,espalda
713,"Quiero diseño de dragón en camiseta color azul, estilo urbano, ubicado en centrado",azul,urbano,dragón,centrado
714,Camiseta de color azul con motivo urbano de dragón en la zona pecho,azul,urbano,dragón,pecho
715,"Camiseta con estampado de dragón, color principal azul, estilo visual urbano, zona esquina",azul,urbano,dragón,esquina
716,"Diseño de camiseta: gráfico de dragón, color azul, estilo urbano, posición espalda",azul,urbano,dragón,espalda
717,"Necesito una camiseta con gráfico de texto en zona centrado, color azul, estilo urbano",azul,urbano,texto,centrado
718,"Camiseta con estampado de texto, color principal azul, estilo visual urbano, zona pecho",azul,urbano,texto,pecho
719,Camiseta de color azul con motivo urbano de texto en la zona esquina,azul,urbano,texto,esquina
720,"Camiseta con estampado de texto, color principal azul, estilo visual urbano, zona espalda",azul,urbano,texto,espalda
721,"Diseñar camiseta: elemento gráfico montaña, color azul, estilo deportivo, ubicación centrado",azul,deportivo,montaña,centrado
722,"Camiseta de color azul, diseño de montaña, estilo deportivo, zona pecho",azul,deportivo,montaña,pecho
723,"Camiseta de color azul, diseño de montaña, estilo deportivo, zona esquina",azul,deportivo,montaña,esquina
724,"Camiseta con estampado de montaña, color principal azul, estilo visual deportivo, zona espalda",azul,deportivo,montaña,espalda
725,"Camiseta color azul, estilo deportivo, con estampado de guitarra en zona centrado",azul,deportivo,guitarra,centrado
726,"Camiseta con imagen de guitarra, color azul, estilo deportivo, posición pecho",azul,deportivo,guitarra,pecho
727,"Quiero diseño de guitarra en camiseta color azul, estilo deportivo, ubicado en esquina",azul,deportivo,guitarra,esquina
728,Camiseta de color azul con motivo deportivo de guitarra en la zona espalda,azul,deportivo,guitarra,espalda
729,"Quiero una camiseta con diseño de calavera en estilo deportivo, color azul, posición centrado",azul,deportivo,calavera,centrado
730,"Camiseta color azul, estilo deportivo, con estampado de calavera en zona pecho",azul,deportivo,calavera,pecho
731,"Diseño para camiseta: calavera en posición esquina, color azul, estilo visual deportivo",azul,deportivo,calavera,esquina
732,"Diseño de camiseta: gráfico de calavera, color azul, estilo deportivo, posición espalda",azul,deportivo,calavera,espalda
733,"Camiseta con imagen de lobo, color azul, estilo deportivo, posición centrado",azul,deportivo,lobo,centrado
734,"Camiseta con estampado de lobo, color principal azul, estilo visual deportivo, zona pecho",azul,deportivo,lobo,pecho
735,"Crear camiseta de estilo deportivo con motivo de lobo en color azul, zona esquina",azul,deportivo,lobo,esquina
736,"Crear camiseta de estilo deportivo con motivo de lobo en color azul, zona espalda",azul,deportivo,lobo,espalda
737,"Diseño para camiseta: águila en posición centrado, color azul, estilo visual deportivo",azul,deportivo,águila,centrado
738,"Camiseta color azul, estilo deportivo, con estampado de águila en zona pecho",azul,deportivo,águila,pecho
739,"Diseño para camiseta: águila en posición esquina, color azul, estilo visual deportivo",azul,deportivo,águila,esquina
740,"Camiseta con estampado de águila, color principal azul, estilo visual deportivo, zona espalda",azul,deportivo,águila,espalda
741,"Diseñar camiseta: elemento gráfico sol, color azul, estilo deportivo, ubicación centrado",azul,deportivo,sol,centrado
742,"Diseño de camiseta: gráfico de sol, color azul, estilo deportivo, posición pecho",azul,deportivo,sol,pecho
743,"Crear camiseta de estilo deportivo con motivo de sol en color azul, zona esquina",azul,deportivo,sol,esquina
744,"Camiseta de color azul, diseño de sol, estilo deportivo, zona espalda",azul,deportivo,sol,espalda
745,Camiseta de color azul con motivo deportivo de árbol en la zona centrado,azul,deportivo,árbol,centrado
746,"Quiero diseño de árbol en camiseta color azul, estilo deportivo, ubicado en pecho",azul,deportivo,árbol,pecho
747,Camiseta de color azul con motivo deportivo de árbol en la zona esquina,azul,deportivo,árbol,esquina
